Activity_Period,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight
8/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,286,37180000
8/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,396,51480000
8/1/05,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,149,6153700
8/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Piper,CHIEFTAIN,-,1,7000
8/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,20,280000
8/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,5,77500
8/1/05,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B747,400,2,1332000
8/1/05,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B777,200ER,14,6440000
8/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,-,23,6794660
8/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,21,5775000
8/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,22,293040
8/1/05,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,24,1608000
8/1/05,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Passenger,Wide Body,Boeing,B767,300,4,1400000
8/1/05,Boeing Company,,Boeing Company,,International,Asia,Passenger,Wide Body,Boeing,B777,200,1,350000
8/1/05,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B747,400,60,37800000
8/1/05,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,B747,400,9,5994000
8/1/05,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,B747,400,17,11322000
8/1/05,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B747,400,31,19530000
8/1/05,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B747,400,40,25200000
8/1/05,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B747,-,28,18648000
8/1/05,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,-,12,5658000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B737,800,159,22896000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B757,-,200,39600000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,200,49,13230000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,300,73,21535000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,300ER,11,3520000
8/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,400,62,21700000
8/1/05,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,B747,400,52,32708000
8/1/05,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,-,1,471500
8/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,48,18000000
8/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000
8/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,-,21,10111500
8/1/05,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,-,14,1729000
8/1/05,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,149,20040500
8/1/05,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B767,300,31,9920000
8/1/05,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000
